method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.42527205,0.0281264017104629,29.4,2.11869981094276,12.3,0.000466781853383647,0.183776528453692,2.77137215899711e-07,1
PSSgb-CG,0.75926084,0.0264505562254138,171.4,11.6638091738696,8.6,0.000336995664430086,0.183679384752708,2.32275801382725e-07,1
FAST-2CDA-E,0.35677635,0.0121937223942167,9.8,0.632455532033676,8.8,5.88625492771794e-10,0.183693332427542,1.34653007423877e-16,1
SpaRSA,0.69147682,0.0402445871838631,49.6,3.09838667696593,15.2,0.000421449223989662,0.183605616155723,2.22452843851533e-07,1
TMAP-CG,0.59190264,0.100366960290827,200.9,31.0034048309393,6.3,0.000107318039022919,0.183687246327182,3.37967603803643e-08,1
TMAP-L-BFGS,0.34673394,0.0276369282612232,42.4,3.40587727318528,18.2,0.000821261672735277,0.183689120279238,7.09448424228051e-07,1
ASSN,0.650707,0.0294328451731886,71.4,2.27058484879019,9,6.46261174903749e-07,0.183693202760466,4.88507422656043e-08,1
