rho,tol,method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
0.1,0.0001,FAST-2CDA-E,5,0.5117471,18,17,7.9706468425374e-10,0.230739182340793,0,1
0.1,0.0001,FAST-2CDA-E,6,0.6090485,23,22,8.02872153462068e-10,0.217605264600588,1.0090627313573e-15,1
0.1,0.0001,FAST-2CDA-E,7,0.5888145,21,20,7.84168426597161e-10,0.235492207537921,-3.78243975794602e-16,1
0.1,0.0001,FAST-2CDA-E,8,0.5294563,21,20,8.20006544167652e-05,0.228546587757866,5.22127209622114e-09,1
0.1,0.0001,FAST-2CDA-E,9,15.897103,1001,1001,0.000115867701240201,0.233013041388393,7.11584756662234e-09,1
0.1,0.0001,FAST-2CDA-E,10,0.5171583,19,18,7.62060116536624e-10,0.262553417176254,-5.54821968859482e-16,1
0.1,0.0001,SpaRSA,1,0.6983711,52,16,0.00674169310547713,0.231915957850007,3.35359615260831e-05,1
0.1,0.0001,SpaRSA,2,0.6400997,46,14,0.00642014970965587,0.235389576820297,2.48801340257678e-05,1
0.1,0.0001,SpaRSA,3,0.7347817,52,16,0.00826625939963137,0.232845529562227,5.63079189906807e-05,1
0.1,0.0001,SpaRSA,4,0.6543176,46,14,0.00873977548731076,0.239921945769567,5.27693196299252e-05,1
0.1,0.0001,SpaRSA,5,0.6950978,52,16,0.00741578492316829,0.23446481924673,4.26161941509692e-05,1
0.1,0.0001,SpaRSA,6,0.6385942,46,14,0.00823569270187879,0.21918077013986,4.56074373259936e-05,1
0.1,0.0001,SpaRSA,7,0.6070766,43,13,0.0131485361902369,0.235624388319972,9.74171003466666e-05,1
0.1,0.0001,SpaRSA,8,0.7001566,52,16,0.00635591771354192,0.231725073886572,3.22034886347291e-05,1
0.1,0.0001,SpaRSA,9,0.6504225,46,14,0.0117111945987166,0.23806467924473,9.88467575272102e-05,1
0.1,0.0001,SpaRSA,10,0.6131329,46,14,0.00743982927541358,0.265470852905442,3.58589934475638e-05,1
0.1,0.0001,TMAP-CG,1,0.7403322,211,6,0.010110560575503,0.227184864611953,5.53263843056238e-05,1
0.1,0.0001,TMAP-CG,2,0.6724435,205,6,0.00134143446260191,0.23429598384409,8.99203623989868e-07,1
0.1,0.0001,TMAP-CG,3,0.7178399,211,6,0.00524140891572046,0.227755873558972,1.58002744162182e-05,1
0.1,0.0001,TMAP-CG,4,0.6961323,201,6,0.00128027790339493,0.236645732637356,7.96777072900019e-07,1
0.1,0.0001,TMAP-CG,5,0.6805164,209,6,0.00197796837256812,0.230528246735307,2.10048821312572e-06,1
0.1,0.0001,TMAP-CG,6,0.7105022,203,6,0.00189889417644865,0.21746401004032,1.84383602855868e-06,1
0.1,0.0001,TMAP-CG,7,0.6446348,201,6,0.00123961948643248,0.235409667108877,6.92672812919466e-07,1
0.1,0.0001,TMAP-CG,8,0.6912868,207,6,0.00122865091610357,0.228387307535543,8.17911063513548e-07,1
0.1,0.0001,TMAP-CG,9,0.6939221,207,6,0.00171670929223311,0.23287116194549,1.45322624199067e-06,1
0.1,0.0001,TMAP-CG,10,0.6416509,203,6,0.0013317475532284,0.262464943063459,8.22986428137e-07,1
0.1,0.0001,TMAP-L-BFGS,1,0.3499744,37,17,0.0112905368748319,0.22824273647873,8.54529548040506e-05,1
0.1,0.0001,TMAP-L-BFGS,2,0.3151979,33,15,0.014764874677067,0.235037958872083,9.82356898719898e-05,1
0.1,0.0001,TMAP-L-BFGS,3,0.3745043,38,17,0.0115123222861306,0.227740378542605,8.27210091328531e-05,1
0.1,0.0001,TMAP-L-BFGS,4,0.3598093,38,17,0.00994029728624452,0.237595184870717,5.29028654519939e-05,1
0.1,0.0001,TMAP-L-BFGS,5,0.349323,38,17,0.011034020330384,0.230986327697329,6.4778175260635e-05,1
0.1,0.0001,TMAP-L-BFGS,6,0.3522848,38,17,0.0113362659081115,0.216419658618206,6.84538343353558e-05,1
0.1,0.0001,TMAP-L-BFGS,7,0.3653136,41,17,0.0116009563938237,0.23535735818854,6.35193064726676e-05,1
0.1,0.0001,TMAP-L-BFGS,8,0.4020824,50,20,0.0129302203727785,0.22985540680888,9.64248756739594e-05,1
0.1,0.0001,TMAP-L-BFGS,9,0.3671109,40,17,0.0118105221369232,0.233562999195807,6.96541294308444e-05,1
0.1,0.0001,TMAP-L-BFGS,10,0.3155525,35,16,0.010238444958398,0.263133197514319,4.73837423389991e-05,1
0.1,0.0001,ASSN,1,0.6303105,67,7,8.62484102512186e-05,0.228853979303229,2.76474532898978e-06,1
0.1,0.0001,ASSN,2,0.6138522,65,7,0.000239360868993929,0.234384575797559,1.88449285786276e-06,1
0.1,0.0001,ASSN,3,0.6707255,69,7,0.000423281612397942,0.228291082173494,8.56108363692325e-06,1
0.1,0.0001,ASSN,4,0.696252,71,8,0.00147766191610571,0.236824524802341,7.54752617626401e-05,1
0.1,0.0001,ASSN,5,0.7512621,81,9,4.88551584953782e-05,0.230750405273604,1.62565746012059e-06,1
