method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.42853743,0.0116414604685199,29.8,0.632455532033676,12.1,0.00906415153352518,0.233013116138765,3.96139331631588e-05,1
PSSgb-CG,0.88635798,0.0430905286449818,185.4,10.6687497965892,8.7,0.00780061057815104,0.23245388486861,4.38647837895043e-05,1
FAST-2CDA-E,2.09647293,4.84922441013811,118.9,309.943883809813,118,2.94417477490348e-05,0.233619190365939,4.32193956501342e-09,1
SpaRSA,0.66320507,0.0418754595877413,48.1,3.47850542618522,14.7,0.00844748331050313,0.23646035937454,5.20043305605589e-05,1
TMAP-CG,0.68892611,0.0308502624252642,205.8,3.79473319220206,6,0.00273672716542347,0.233300779108137,8.0553760206977e-06,1
TMAP-L-BFGS,0.35511531,0.0259879896845725,38.8,4.54116969758037,17,0.0116458461224693,0.233793120678722,7.29526582773349e-05,1
ASSN,0.66471056,0.0430605061021814,69.6,4.42718872423573,7.6,0.000653295652684222,0.233651346191723,2.49790899535109e-05,1
