instance,PSSgb-L-BFGS,PSSgb-CG,TMAP-CG,TMAP-L-BFGS
1,0.5625286,0.8972469,0.6580012,8.2853424
2,0.5920842,0.8981321,0.6640388,6.9944592
3,0.6410854,0.8321465,0.5930121,7.3040901
4,0.5546839,0.8809227,0.6639182,7.3433248
5,0.5632334,0.8829569,0.6580325,7.6240436
