instance,PSSgb-L-BFGS,PSSgb-CG,TMAP-CG,TMAP-L-BFGS
1,0.5808727,0.9033869,0.7025751,0.6362835
2,0.5631422,0.8979893,0.7086785,0.6590499
3,0.5993134,0.8517339,0.6445347,0.6215751
4,0.5258273,0.8382871,0.5624012,0.6112309
5,0.5744355,0.8595487,0.6581969,0.6283848
