method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.3443788,24,9,0.0692924257893733,0.201373879521169,0.00605532871349779,1
PSSgb-L-BFGS,2,0.3360188,24,9,0.0555067360714761,0.208057527988027,0.00387806935161747,1
PSSgb-L-BFGS,3,0.2955919,20,8,0.0971451558875361,0.13426778220268,0.00881753373015971,1
PSSgb-L-BFGS,4,0.2794983,20,8,0.0523137486368497,0.177590565825919,0.00213192072142686,1
PSSgb-L-BFGS,5,0.2860753,20,8,0.0823310621724848,0.159984625248805,0.0054321694461399,1
PSSgb-L-BFGS,6,0.3145394,22,9,0.0464681193423729,0.204310756483212,0.00276959397848579,1
PSSgb-L-BFGS,7,0.2936592,20,8,0.0955343910673993,0.140508767091471,0.0074199721197686,1
PSSgb-L-BFGS,8,0.2912115,20,8,0.0735545794553056,0.162736130286769,0.00397311146994241,1
PSSgb-L-BFGS,9,0.2821837,20,8,0.0966830024642692,0.156225479504388,0.00707706144090964,1
PSSgb-L-BFGS,10,0.2943134,20,8,0.0974007840445413,0.137476707809013,0.00832232668799066,1
PSSgb-CG,1,0.7178915,140,7,0.00899348912511608,0.172113395231916,8.37001166362506e-05,1
PSSgb-CG,2,0.6952842,138,7,0.0102842857847673,0.183932363287729,0.000106776650847982,1
PSSgb-CG,3,0.7285585,140,7,0.0123792249260108,0.170292141200569,0.00015829735458067,1
PSSgb-CG,4,1.1289886,256,12,0.00627677371512935,0.192415163576022,3.57648928105013e-05,1
PSSgb-CG,5,0.7140443,140,7,0.0116249194400575,0.181271244923858,0.000135880913153718,1
PSSgb-CG,6,0.7300548,140,7,0.0107846717593654,0.171622326320185,0.000137187466917075,1
PSSgb-CG,7,0.7396335,140,7,0.0119883325278489,0.163685920602245,0.000152866990984552,1
PSSgb-CG,8,0.7037466,138,7,0.0110819718726411,0.180841678891424,0.000119470458880309,1
PSSgb-CG,9,0.6958957,140,7,0.012139603616477,0.175822428052461,0.000146215855228432,1
PSSgb-CG,10,0.7437792,140,7,0.0122365344751101,0.168735708704165,0.000163532650231627,1
FAST-2CDA-E,1,0.2910746,6,5,0.00529864208081466,0.175908464514905,3.46840545901095e-05,1
FAST-2CDA-E,2,0.286294,6,5,0.00262994415540578,0.187213184805767,8.42202840032834e-06,1
FAST-2CDA-E,3,0.2935362,6,5,0.00314653117972657,0.175344981263016,1.29561907201567e-05,1
FAST-2CDA-E,4,0.2855627,6,5,0.00184148231407758,0.194909448895011,3.59271667592714e-06,1
FAST-2CDA-E,5,0.2935439,6,5,0.00259511885337883,0.185701978589141,8.13093986119973e-06,1
FAST-2CDA-E,6,0.2918399,6,5,0.00644076418648787,0.177499596481841,5.72415320007363e-05,1
FAST-2CDA-E,7,0.2969181,6,5,0.00228196903156812,0.167971138381181,6.53268776090698e-06,1
FAST-2CDA-E,8,0.2913745,6,5,0.00264222079610769,0.18455359713242,7.89257067582765e-06,1
FAST-2CDA-E,9,0.2868261,6,5,0.00304475317707527,0.18078823250287,1.1797287435324e-05,1
FAST-2CDA-E,10,0.292966,6,5,0.00443452281962168,0.174158361631043,2.53631239982837e-05,1
SpaRSA,1,0.4686447,34,10,0.0289146396839314,0.159423643627217,0.00107344972248183,1
SpaRSA,2,0.460137,34,10,0.0230888941097779,0.174979142062331,0.000655977253791929,1
SpaRSA,3,0.4822193,34,10,0.038808166818398,0.152654205768196,0.00190888883602271,1
SpaRSA,4,0.3803269,28,8,0.0459488741172051,0.202132417412415,0.00153913281325105,1
SpaRSA,5,0.4279349,31,9,0.100214656729694,0.1389181166348,0.00979013630512499,1
SpaRSA,6,0.4723928,34,10,0.0462192547071467,0.146348884853692,0.00302498222534614,1
SpaRSA,7,0.4801746,34,10,0.0280664988838599,0.153011650513068,0.00101613853488506,1
SpaRSA,8,0.3928738,28,8,0.0768757189006206,0.164342250829642,0.00475763421235602,1
SpaRSA,9,0.4161537,31,9,0.0922337689192898,0.142311360438539,0.00788953149296106,1
SpaRSA,10,0.4839456,34,10,0.0368648084509886,0.153124562012005,0.00176741321449903,1
TMAP-CG,1,0.6015155,171,5,0.0133949459860278,0.172361830303712,0.000189017953447193,1
TMAP-CG,2,0.5603307,171,5,0.0123760518230153,0.185471563352698,0.000163017667056566,1
TMAP-CG,3,0.606392,171,5,0.011800032035668,0.172327698793452,0.000147711931636194,1
TMAP-CG,4,0.5059222,166,5,0.0124386982267505,0.19196858878177,0.000142184465626959,1
TMAP-CG,5,0.6696377,222,6,0.0148554885323325,0.179562291017231,0.00022402420154505,1
TMAP-CG,6,0.5980973,171,5,0.0136795547087739,0.172116693430347,0.0002124353051054,1
TMAP-CG,7,0.5833908,173,5,0.016328197132947,0.163517533305003,0.000288915166108523,1
TMAP-CG,8,0.5607109,171,5,0.0114147131585007,0.181833029764878,0.000124903599207925,1
TMAP-CG,9,0.6404056,180,5,0.0329983425397225,0.171300282645012,0.00110810657127428,1
TMAP-CG,10,0.5851812,171,5,0.0106529692882639,0.170583310556302,0.00012348142894827,1
TMAP-L-BFGS,1,0.2231673,25,10,0.0755945381261875,0.178112670883246,0.00610473740370642,1
TMAP-L-BFGS,2,0.2159986,27,10,0.0818963109288826,0.191124400232176,0.00691822313734594,1
TMAP-L-BFGS,3,0.2520017,30,11,0.0981033503646747,0.188660664017277,0.00941205410188675,1
TMAP-L-BFGS,4,0.1904262,22,9,0.0792256981107094,0.202461722273598,0.00598656507796846,1
TMAP-L-BFGS,5,0.2210709,26,10,0.0708425622928726,0.198449590232601,0.00517208259849187,1
TMAP-L-BFGS,6,0.2421134,29,11,0.0827186383585542,0.164228648206696,0.00789343056779808,1
TMAP-L-BFGS,7,0.2306656,27,10,0.0923731883240826,0.179323260812604,0.00829853340615491,1
TMAP-L-BFGS,8,0.218966,28,10,0.0857453394363965,0.180680389693058,0.0068095404374853,1
TMAP-L-BFGS,9,0.2220143,27,10,0.0819986444923932,0.189714757688393,0.00739604080093428,1
TMAP-L-BFGS,10,0.2482934,29,11,0.0754443503190172,0.191998553144656,0.00632123083448836,1
ASSN,1,0.5458752,57,7,0.00429104876490967,0.172934635810024,0.00105053803361453,1
ASSN,2,0.524281,57,7,0.00388478033675834,0.185232136021039,0.000945153571409478,1
ASSN,3,0.5727307,57,7,0.00438315752094581,0.173156970882164,0.00109466438042507,1
ASSN,4,0.4419341,49,6,0.0363879804326893,0.188112493089459,0.00927533600653083,1
ASSN,5,0.5353256,57,7,0.00327064168540676,0.183900946970035,0.000786486965324305,1
ASSN,6,0.5647664,57,7,0.00370033628705844,0.174000480451157,0.00093263127505755,1
ASSN,7,0.5775202,55,7,0.00555404403961686,0.165718039971854,0.00135461988084034,1
ASSN,8,0.5257893,53,7,0.00408195318374229,0.182636978205118,0.000979630346543356,1
ASSN,9,0.5311116,57,7,0.00405433730443352,0.178685280463562,0.00101432062467762,1
ASSN,10,0.5638524,57,7,0.00372692611105575,0.171983395028306,0.000940006687945599,1
