method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.18458926,0.014272686146327,12.6,0.966091783079296,5.3,0.0393132889452485,0.155728361468121,0.00546673669251625,1
PSSgb-CG,0.45022139,0.025511285135121,114.2,3.32665998663324,6,0.0249397370073115,0.147846002877031,0.00291990833755409,1
FAST-2CDA-E,0.26201796,0.00300847187573875,4,0,3,0.00208332912585325,0.127427449749161,1.89004147940541e-05,1
SpaRSA,0.37785299,0.0347201276174834,26.8,2.5298221281347,7.6,0.0157522645802123,0.118777629074231,0.00206381529990317,1
TMAP-CG,0.13872236,0.00773992718429717,55.2,2.14993539954628,3,0.00531000273230715,0.12219202544832,0.000120451031849489,1
TMAP-L-BFGS,0.13949871,0.0132831165663995,16.3,2.21359436211787,6.5,0.0351745133588024,0.102665120867972,0.00483690893810889,1
ASSN,0.34386072,0.015315811370592,38.2,1.3984117975602,6,0.00858606614769964,0.12055878841958,0.0057998375579535,1
