method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.4416767,30,13,0.000535425571247949,0.172768234159974,3.71333123090169e-07,1
PSSgb-L-BFGS,2,0.4011746,28,12,0.000494690183344717,0.167824253391298,3.62248326337616e-07,1
PSSgb-L-BFGS,3,0.4564341,32,12,0.000601616031401875,0.210948821432892,3.74977937927158e-07,1
PSSgb-L-BFGS,4,0.391554,28,12,0.000266462482177404,0.181416871380197,9.1290545582683e-08,1
PSSgb-L-BFGS,5,0.4834135,34,13,0.00050150197468374,0.175238816649683,2.68752950489318e-07,1
PSSgb-L-BFGS,6,0.4317458,30,13,0.000597162506486823,0.176078002156615,4.58287637698489e-07,1
PSSgb-L-BFGS,7,0.4115538,28,12,0.000275519103224894,0.186019876794434,7.79127462833867e-08,1
PSSgb-L-BFGS,8,0.4115224,28,12,0.000385519837331178,0.195478476345394,1.68404522624907e-07,1
PSSgb-L-BFGS,9,0.4124248,28,12,0.000504348600057309,0.179521125070538,3.30985741806458e-07,1
PSSgb-L-BFGS,10,0.4112208,28,12,0.000505572243880579,0.192470807155895,2.6717862715692e-07,1
PSSgb-CG,1,0.8076376,178,9,7.02806749729472e-05,0.172689175128627,5.418499624867e-09,1
PSSgb-CG,2,0.7512662,158,8,0.000399500630194497,0.167673934660341,1.75684672863821e-07,1
PSSgb-CG,3,0.7212877,184,9,2.8539555895285e-08,0.210823060174957,1.37520108495264e-15,1
PSSgb-CG,4,0.7551778,182,9,1.30319643213366e-05,0.181371900264958,1.57606439623785e-10,1
PSSgb-CG,5,0.76707,180,9,0.00017372981154801,0.175308149040297,3.16483050084261e-08,1
PSSgb-CG,6,0.7564624,158,8,0.000825204669785188,0.175943118795953,7.4736985979549e-07,1
PSSgb-CG,7,0.7705511,178,9,0.000101053060050936,0.185951047870179,1.06427140459195e-08,1
PSSgb-CG,8,0.7335224,158,8,0.000966033862830686,0.195349499565543,9.58776985266555e-07,1
PSSgb-CG,9,0.7923243,180,9,0.000254555441096799,0.179421642772154,7.20399859684851e-08,1
PSSgb-CG,10,0.7373089,158,8,0.000566537989944563,0.192262319254076,3.21019383438864e-07,1
FAST-2CDA-E,1,0.3643203,10,9,5.9776769859779e-10,0.172691741171796,5.85062036001234e-16,1
FAST-2CDA-E,2,0.3399768,9,8,5.98168092651137e-10,0.167704325450056,4.59309618498374e-16,1
FAST-2CDA-E,3,0.3392222,9,8,5.68627815986518e-10,0.210823064826971,1.96457297850377e-16,1
FAST-2CDA-E,4,0.352319,10,9,5.91211738334651e-10,0.181373043391428,0,1
FAST-2CDA-E,5,0.3435822,9,8,5.92476748543962e-10,0.175316684015655,-4.45344579738861e-16,1
FAST-2CDA-E,6,0.3745178,11,10,5.95501315336234e-10,0.175974211539744,5.8133045308804e-16,1
FAST-2CDA-E,7,0.3629397,10,9,5.87088117984799e-10,0.185953091656117,6.27054794555889e-16,1
FAST-2CDA-E,8,0.362207,10,9,5.81798402445618e-10,0.195375320260766,-4.30106550429867e-16,1
FAST-2CDA-E,9,0.3647337,10,9,5.89825171291222e-10,0.179432951318897,-2.27232995586416e-16,1
FAST-2CDA-E,10,0.3639448,10,9,5.83789826546012e-10,0.192288890643985,0,1
SpaRSA,1,0.7356475,52,16,0.000429495018403201,0.172522836739705,2.08308157755036e-07,1
SpaRSA,2,0.7241357,52,16,0.000325149120191285,0.16759866897883,1.20815367396219e-07,1
SpaRSA,3,0.6374699,46,14,0.000539265949758736,0.210983267802074,3.35441236390116e-07,1
SpaRSA,4,0.6976497,52,16,0.000322253097297962,0.181267890753547,1.04755723461555e-07,1
SpaRSA,5,0.7151818,52,16,0.00031612774388258,0.175215127686041,1.03566429034006e-07,1
SpaRSA,6,0.7234259,52,16,0.000337375864501714,0.175856177839934,1.27823957469557e-07,1
SpaRSA,7,0.6483643,46,14,0.000342353373242789,0.185930627327909,1.27674753175575e-07,1
SpaRSA,8,0.6510427,46,14,0.000723993778457275,0.19507325756428,6.4469394111108e-07,1
SpaRSA,9,0.7329209,52,16,0.000448927744938605,0.179248763522829,2.32915592438976e-07,1
SpaRSA,10,0.6489298,46,14,0.000429550549222476,0.192359543342082,2.1853328028321e-07,1
TMAP-CG,1,0.620964,191,6,0.000291725332059104,0.172670998177988,9.08460567793185e-08,1
TMAP-CG,2,0.8196624,281,8,0.000423484985263433,0.167679426221167,1.94261601956162e-07,1
TMAP-CG,3,0.4291124,172,6,1.69079212136931e-07,0.210822992854927,3.08437957625091e-14,1
TMAP-CG,4,0.5214763,190,6,5.68673595329083e-05,0.181367879142651,3.16053485243294e-09,1
TMAP-CG,5,0.6004349,191,6,0.000207034136163383,0.175308024417909,4.39824572640648e-08,1
TMAP-CG,6,0.5883872,191,6,1.7376902968042e-05,0.175975605161956,3.20708035561338e-10,1
TMAP-CG,7,0.5278217,188,6,1.94876720080475e-07,0.185953053286696,4.09675799109848e-14,1
TMAP-CG,8,0.6363863,225,7,3.44050190165205e-07,0.195375190656946,1.33763137183689e-13,1
TMAP-CG,9,0.5990332,189,6,4.6526955054718e-07,0.179432838632892,2.64612823360382e-13,1
TMAP-CG,10,0.575748,191,6,7.55183985693889e-05,0.192286454718687,5.39577472876649e-09,1
TMAP-L-BFGS,1,0.3891396,47,20,0.000745586685861584,0.172648447708026,5.95967493476812e-07,1
TMAP-L-BFGS,2,0.3088807,36,16,0.000907844386367771,0.167706424431913,8.96812429461975e-07,1
TMAP-L-BFGS,3,0.3315955,43,18,0.000814792154320563,0.210685363368696,6.19874148104869e-07,1
TMAP-L-BFGS,4,0.3136245,42,17,0.00082122961763011,0.181345935306925,6.65539728986248e-07,1
TMAP-L-BFGS,5,0.3508924,43,19,0.000685265966975941,0.175376091398546,5.08557978123014e-07,1
TMAP-L-BFGS,6,0.3574428,43,19,0.000702840015229734,0.176017985608099,5.26734513269848e-07,1
TMAP-L-BFGS,7,0.3494728,43,18,0.00088755030159874,0.185754323953672,7.92583542867958e-07,1
TMAP-L-BFGS,8,0.3284256,38,17,0.000743313911734183,0.195684160553934,6.4067169303831e-07,1
TMAP-L-BFGS,9,0.3896383,47,20,0.000930949155205046,0.179329747350451,8.89758880671334e-07,1
TMAP-L-BFGS,10,0.3482272,42,18,0.000973244532429094,0.192342723112119,9.57983834280138e-07,1
ASSN,1,0.6925538,73,9,1.00251962943919e-06,0.172691440814057,9.01866649518915e-08,1
ASSN,2,0.6678907,73,9,7.10275667067685e-07,0.167704196660573,6.18970415263619e-08,1
ASSN,3,0.5897245,67,9,2.95688912715167e-07,0.210823052408526,9.18230624647008e-09,1
ASSN,4,0.6223585,71,9,9.25031543335636e-07,0.181372841138953,6.83312848914553e-08,1
ASSN,5,0.6432555,73,9,6.7079622577498e-07,0.175316525823794,6.00055537649304e-08,1
ASSN,6,0.6633364,73,9,8.3495541408195e-07,0.175974015991629,7.45338478076656e-08,1
ASSN,7,0.6474044,69,9,3.89142919628246e-07,0.185953078743483,2.03292299364197e-08,1
