method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.27707525,0.0186754403862548,19.2,1.03279555898864,8.6,0.000170132014184754,0.12568702706718,2.14508407514469e-07,1
PSSgb-CG,0.49505795,0.0514872369059502,139.2,13.306639946533,7.7,6.24130920589419e-05,0.125702665802622,4.09307852944352e-08,1
FAST-2CDA-E,0.29860269,0.0089675490593646,6.7,0.483045891539648,5.7,3.47695595116524e-08,0.125718196303565,3.26627613844721e-14,1
SpaRSA,0.49710997,0.0409446892317496,35.8,2.5298221281347,10.6,0.000331715502907308,0.125491352836638,5.52906730966196e-07,1
TMAP-CG,0.15103213,0.00675424152893737,69.8,1.13529242439509,4,3.89532502153975e-05,0.125717675081095,1.028717124818e-08,1
TMAP-L-BFGS,0.22170032,0.0184563106125911,28.9,2.88482620312251,12.4,0.00027147148650773,0.125703615992496,3.42190989943703e-07,1
ASSN,0.45467174,0.0254901070408458,52.8,3.19026296373477,8.9,2.81212066233294e-06,0.125715626785112,9.19333463023086e-08,1
