method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.2949175,20,9,6.4180919550755e-05,0.121503166664651,1.77533323597601e-08,1
PSSgb-L-BFGS,2,0.2935559,20,9,5.6620755407737e-05,0.130146111549967,1.34155362374599e-08,1
PSSgb-L-BFGS,3,0.2576943,18,8,0.000407769448765839,0.131515894499677,7.3746488271631e-07,1
PSSgb-L-BFGS,4,0.2639297,18,8,0.00015890098216136,0.13077561566107,1.07408439142809e-07,1
PSSgb-L-BFGS,5,0.2857322,20,9,4.92959882742305e-05,0.119211912852533,1.05266809713456e-08,1
PSSgb-L-BFGS,6,0.2895597,20,9,4.13699031823309e-05,0.126988761489623,7.52496709388595e-09,1
PSSgb-L-BFGS,7,0.2535993,18,8,0.000435922311733503,0.127060977215467,8.2281790680927e-07,1
PSSgb-L-BFGS,8,0.2881775,20,9,0.000100353973776008,0.118737444805225,4.08748175306783e-08,1
PSSgb-L-BFGS,9,0.2945921,20,9,0.000100974543479164,0.121297401203301,3.93362857842305e-08,1
PSSgb-L-BFGS,10,0.2489943,18,8,0.000285931315516616,0.129632984730284,3.47961226498938e-07,1
PSSgb-CG,1,0.5229716,142,8,1.08058615777427e-05,0.121496928566631,4.6988579693874e-10,1
PSSgb-CG,2,0.4758795,128,7,0.000264237007236345,0.130139191778422,2.83553955537919e-07,1
PSSgb-CG,3,0.4862522,146,8,6.02823162546318e-05,0.131546898360914,1.40055805841754e-08,1
PSSgb-CG,4,0.4493962,126,7,9.68307049807436e-05,0.130683422970161,3.91211255612589e-08,1
PSSgb-CG,5,0.4605242,126,7,7.5071348923e-05,0.119180254649879,2.19488478503393e-08,1
PSSgb-CG,6,0.4917892,142,8,1.70840643297467e-08,0.126987673137688,6.66133814775094e-16,1
PSSgb-CG,7,0.4861505,142,8,2.4575976502962e-08,0.127253977797647,2.55351295663786e-15,1
PSSgb-CG,8,0.5274062,146,8,2.81750683326725e-06,0.118736764707384,3.17454951215268e-11,1
PSSgb-CG,9,0.6156981,168,9,0.000113932217471506,0.12126540503653,5.01766581617602e-08,1
PSSgb-CG,10,0.4345118,126,7,1.12297271350745e-07,0.129736141020963,5.07371922253697e-14,1
FAST-2CDA-E,1,0.3059307,7,6,2.76264992920157e-10,0.121503901701687,3.33066907387547e-16,1
FAST-2CDA-E,2,0.308739,7,6,2.77173542407974e-10,0.130140193444766,-1.22124532708767e-15,1
FAST-2CDA-E,3,0.2892524,6,5,2.7683011553854e-10,0.131568098517681,-9.99200722162641e-16,1
FAST-2CDA-E,4,0.3038568,7,6,4.11241115859729e-08,0.130737638320017,6.66133814775094e-15,1
FAST-2CDA-E,5,0.3007369,7,6,2.67376758969749e-07,0.119205508790557,3.15525383598469e-13,1
FAST-2CDA-E,6,0.2853373,6,5,2.77990936559669e-10,0.126987670331932,-5.55111512312578e-16,1
FAST-2CDA-E,7,0.3011841,7,6,2.78221931276851e-10,0.127253962915515,9.99200722162641e-16,1
FAST-2CDA-E,8,0.2982909,7,6,3.72522180271315e-08,0.11873787263283,5.44009282066327e-15,1
FAST-2CDA-E,9,0.3076373,7,6,2.79252522233801e-10,0.121311075772118,2.22044604925031e-16,1
FAST-2CDA-E,10,0.2850615,6,5,2.76772492732853e-10,0.129736040608549,2.22044604925031e-16,1
SpaRSA,1,0.5253953,37,11,0.000442672669481508,0.121086463106964,8.45372191471405e-07,1
SpaRSA,2,0.482367,34,10,0.000411036988273062,0.129759581762672,7.06257872407079e-07,1
SpaRSA,3,0.5141856,37,11,0.00045354915433873,0.131169969423513,9.32009663889843e-07,1
SpaRSA,4,0.4842289,34,10,0.0003025773179098,0.130459619564555,3.91944856237281e-07,1
SpaRSA,5,0.5526024,40,12,8.42751979160399e-05,0.119208604742623,2.79311002104876e-08,1
SpaRSA,6,0.4607323,34,10,0.000423034988663024,0.126654081750419,7.71954153488963e-07,1
SpaRSA,7,0.4562294,34,10,0.000408649869473621,0.127108472112897,7.20913302165727e-07,1
SpaRSA,8,0.4727931,34,10,0.000411860559580523,0.118595582003989,7.17033969421799e-07,1
SpaRSA,9,0.5684942,40,12,7.71462752906285e-05,0.121361799526081,2.34271108068285e-08,1
SpaRSA,10,0.4540715,34,10,0.000302352008146147,0.12950935437267,3.92223089562549e-07,1
TMAP-CG,1,0.1555449,70,4,8.78788747109457e-05,0.121501495665274,2.97635885937453e-08,1
TMAP-CG,2,0.1534535,70,4,1.29999074215996e-07,0.130140059357546,6.80566714095221e-14,1
TMAP-CG,3,0.1505184,70,4,3.48711800231205e-06,0.131568361574045,5.01442221079174e-11,1
TMAP-CG,4,0.1442384,68,4,8.48741337940756e-06,0.130734407948917,2.89733126379588e-10,1
TMAP-CG,5,0.1466888,70,4,0.000202875988384372,0.1192077936282,4.67707290674468e-08,1
TMAP-CG,6,0.148149,70,4,1.23481515349608e-07,0.126987544780466,5.93969318174459e-14,1
TMAP-CG,7,0.1486441,70,4,1.03712671881615e-07,0.127253857381989,4.41868763800812e-14,1
TMAP-CG,8,0.1559916,70,4,1.21111088717805e-07,0.118737741702534,6.0063065632221e-14,1
TMAP-CG,9,0.1651181,72,4,7.97367535012003e-05,0.121306110037696,2.58159532640079e-08,1
TMAP-CG,10,0.1419745,68,4,6.58804982557256e-06,0.129739378734279,1.81332504567422e-10,1
TMAP-L-BFGS,1,0.2382591,30,13,0.000415037344236273,0.121209299294062,7.61695552076169e-07,1
TMAP-L-BFGS,2,0.2212685,28,12,0.000209064080856284,0.130266701668524,1.68780097342669e-07,1
TMAP-L-BFGS,3,0.2280413,30,13,0.000228511591774447,0.131367710041128,2.33254106918324e-07,1
TMAP-L-BFGS,4,0.218285,27,12,0.000211296153326332,0.130547376235989,1.93964289518789e-07,1
TMAP-L-BFGS,5,0.1996912,25,11,0.000126456496827422,0.119201524401339,6.38121978591144e-08,1
TMAP-L-BFGS,6,0.1954195,25,11,0.000330679810946719,0.12689792153895,4.48209163006474e-07,1
TMAP-L-BFGS,7,0.2098328,28,12,0.000345365968828502,0.127478876690285,5.30404767662418e-07,1
TMAP-L-BFGS,8,0.2286506,32,13,0.000296336886364581,0.118807279863306,3.59997431420567e-07,1
TMAP-L-BFGS,9,0.258677,34,14,0.000324926932921783,0.121311195270133,4.33735332983076e-07,1
TMAP-L-BFGS,10,0.2188782,30,13,0.000227039598994959,0.129948274921248,2.28056960649425e-07,1
ASSN,1,0.4764359,55,9,4.42301381606659e-08,0.121503895347434,2.2962243217961e-10,1
ASSN,2,0.4685035,51,9,2.77737235028603e-07,0.130140242799665,9.60836188390601e-10,1
ASSN,3,0.4514447,55,9,6.7877623880353e-08,0.131568041586362,1.62980451356987e-09,1
ASSN,4,0.4102701,45,8,2.69683552470286e-05,0.130712286976451,9.07586113041425e-07,1
ASSN,5,0.4488036,53,9,7.05472829767134e-08,0.119205301573998,1.71372060986386e-09,1
ASSN,6,0.4497017,53,9,3.87723182623083e-07,0.126987659284049,2.08762707121224e-09,1
ASSN,7,0.4477527,55,9,5.31042435898663e-08,0.127253935191141,1.1404948097038e-09,1
ASSN,8,0.4709706,55,9,4.04151392127129e-08,0.118737837004463,1.50547796451406e-09,1
ASSN,9,0.4984114,55,9,5.36856610586809e-08,0.121311047561283,1.90951143785867e-09,1
ASSN,10,0.4244232,51,9,1.57530869770136e-07,0.129736020526274,5.70254954368465e-10,1
