method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.3682548,0.0235246692780154,25.4,1.64654520469713,10.5,0.00549686439761971,0.180470754015058,3.21525182842081e-05,1
PSSgb-CG,0.7271797,0.0218042486800674,151.2,9.15059196627919,7.7,0.00339049035324307,0.180194205264012,1.72921738583498e-05,1
FAST-2CDA-E,0.32607406,0.0102234229159427,8.3,0.674948557710553,7.3,4.73644603997718e-05,0.180833627798751,3.40921605505816e-09,1
SpaRSA,0.53739599,0.031363415908222,38.8,2.5298221281347,11.6,0.00422686507039097,0.180098311920524,2.07392756346593e-05,1
TMAP-CG,0.59311417,0.0723077106483127,194.7,21.1872603231281,6,0.000714828439354658,0.180715276311563,3.95809192566982e-06,1
TMAP-L-BFGS,0.29193179,0.0130978134944094,37,3.2659863237109,14.6,0.00735015075280321,0.180640035880029,5.95300524950757e-05,1
ASSN,0.59034076,0.0190348958774376,61.6,2.11869981094276,8,0.00014758418271878,0.180781098217443,1.97283333281211e-05,1
