method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.33123646,0.0398970665725133,22.8,2.5298221281347,9.1,0.0897900932794993,0.231398848266225,0.00408293287073098,1
PSSgb-CG,0.82342217,0.0454752226097551,145,1.05409255338946,7,0.0732043390946034,0.21301284527266,0.00305904209603478,1
FAST-2CDA-E,0.39318604,0.0140855794265072,11.2,0.632455532033676,10.2,0.0077030268515497,0.238513873529291,4.16297726051436e-05,1
SpaRSA,0.47658489,0.00799088238493652,34,0,10,0.0850601191359513,0.241145871862223,0.00424551560674124,1
TMAP-CG,0.74700149,0.165201213166136,210.9,51.9368205932297,5.7,0.034933181678939,0.22790005836003,0.000695845654708855,1
TMAP-L-BFGS,0.2689681,0.023642926446238,27.8,3.35989417822777,11.5,0.117480225525863,0.261076348764839,0.00699286646552287,1
ASSN,0.58570366,0.067863808938838,59.8,6.67998669326685,6.3,0.0326628186637395,0.235579802569713,0.00269174038612442,1
