method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.24846498,0.0144754020149739,17.4,0.966091783079296,7.7,0.00220312888197596,0.124241119001834,2.98575178622751e-05,1
PSSgb-CG,0.51541202,0.046175846313842,140.4,11.6160808077997,7.7,0.000399205475695365,0.125635170235952,1.57834608591756e-06,1
FAST-2CDA-E,0.27893716,0.00903730578671911,5.4,0.516397779494322,4.4,3.62067582121623e-05,0.125636573978366,8.9647134715598e-09,1
SpaRSA,0.46467441,0.0205606431741406,33.7,0.948683298050514,9.9,0.000963471832738804,0.125724933538988,9.7176914069852e-06,1
TMAP-CG,0.15302215,0.0109370174372531,67.8,6.28578643537236,3.8,0.000942366552061372,0.124800081539447,1.66418777437394e-05,1
TMAP-L-BFGS,0.18265064,0.0098874900133901,23.3,1.25166555703457,9.7,0.00309541825419512,0.126227399506711,4.27190796926102e-05,1
ASSN,0.42501931,0.0149680103974703,47,0.942809041582063,8,3.37191914368939e-05,0.125614788731573,1.94959485100288e-06,1
