method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.51086876,0.0533990903917993,35.6,3.62705880232945,14.6,0.000814600341200498,0.232738100321303,4.43256008036681e-07,1
PSSgb-CG,0.92206592,0.0335067949914574,221.2,1.03279555898864,10,0.000327561404193558,0.2326412369121,6.16582251136827e-08,1
FAST-2CDA-E,0.62169163,0.177080002119532,23.5,9.07070988279185,22.5,8.44500370819958e-08,0.232659533856034,4.76212702316107e-14,1
SpaRSA,0.88069454,0.0587013003692649,63.7,2.98328677803526,19.9,0.000923435585463357,0.232972882693021,6.00450551415749e-07,1
TMAP-CG,0.75095088,0.0924310809684924,240.4,34.0169892194409,7,0.000475008594425757,0.232630730243456,2.48111723543427e-07,1
TMAP-L-BFGS,0.43370846,0.0270874432263036,48.1,4.25440947723653,22,0.00117397015132775,0.232682694017571,6.70785846210293e-07,1
ASSN,0.74633309,0.0744752688227061,81.4,8.73307887670017,9,1.10000467407615e-05,0.232661471367731,2.78202112935568e-07,1
