instance,PSSgb-L-BFGS,PSSgb-CG,TMAP-CG,TMAP-L-BFGS
1,0.3805199,0.5899618,0.1888511,0.5037338
2,0.3849025,0.5602762,0.1749209,0.4548586
3,0.3830284,0.5546581,0.1780332,0.4260173
4,0.3783597,0.4897052,0.1577253,0.4024932
5,0.3652373,0.6243998,0.1906601,0.3954356
