method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
PSSgb-L-BFGS,0.30174703,0.0224809910263983,21,1.69967317119759,8.3,0.0766230004931608,0.168253222196145,0.00558770876599388,1
PSSgb-CG,0.75978769,0.130835911214183,151.2,36.8323529281286,7.5,0.0107789807242524,0.176073237079058,0.000123969335027112,1
FAST-2CDA-E,0.2909936,0.00367840163929934,6,0,5,0.00343559485942641,0.180404898419719,1.766131321188e-05,1
SpaRSA,0.44648033,0.0389857782026572,32.2,2.5298221281347,9.4,0.0517235281320912,0.158724623415191,0.00334232846107198,1
TMAP-CG,0.59115839,0.0449820177929025,176.7,16.2825741890594,5.1,0.0149938993432002,0.176104282195041,0.000272379828995636,1
TMAP-L-BFGS,0.22647174,0.0179983783469635,27,2.3094010767585,10.2,0.082394262075377,0.18647546571843,0.00703124383662604,1
ASSN,0.53831865,0.0392066174265476,55.6,2.67498701969852,6.9,0.00733352056666168,0.177636135689272,0.00183733877723687,1
