method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.5280376,36,15,0.000551575703125369,0.233145633659111,1.34669290360417e-07,1
PSSgb-L-BFGS,2,0.4794507,34,14,0.00084011573288491,0.22930707771234,4.52326743529032e-07,1
PSSgb-L-BFGS,3,0.4739038,34,14,0.000961104700470312,0.21986963166793,6.70199719241522e-07,1
PSSgb-L-BFGS,4,0.590323,42,16,0.000782740742987818,0.229994978139626,4.08716714709145e-07,1
PSSgb-L-BFGS,5,0.4492151,32,14,0.00124280476812358,0.241234769356457,5.74027907501338e-07,1
PSSgb-L-BFGS,6,0.5042027,34,14,0.00110732056674261,0.231606802715345,9.1760212290456e-07,1
PSSgb-L-BFGS,7,0.6133684,42,16,0.000659146284728675,0.216582280587709,3.23890146923228e-07,1
PSSgb-L-BFGS,8,0.4696097,32,14,0.000804588755430307,0.272856240152201,4.22206261110713e-07,1
PSSgb-L-BFGS,9,0.4857293,34,14,0.000780577900039951,0.236351796475315,4.20494887976297e-07,1
PSSgb-L-BFGS,10,0.5148473,36,15,0.000416028257471441,0.216431792746997,1.08426286110557e-07,1
PSSgb-CG,1,0.9522093,222,10,0.000138177243926255,0.233110612494065,9.62930769653642e-09,1
PSSgb-CG,2,0.9260004,222,10,0.000232578640226998,0.22918069626827,2.57283617300935e-08,1
PSSgb-CG,3,0.9362966,222,10,0.000185187385067943,0.219757543922026,1.57393581490885e-08,1
PSSgb-CG,4,0.8964338,220,10,0.000396390753648932,0.229913797996259,8.67526441459486e-08,1
PSSgb-CG,5,0.8664801,220,10,0.00021562227756472,0.241213110608977,1.84674890106845e-08,1
PSSgb-CG,6,0.9263945,222,10,0.00044590159764481,0.231386798817088,1.0264985242301e-07,1
PSSgb-CG,7,0.9537866,222,10,0.000348285777565577,0.216511183747049,5.87417734608428e-08,1
PSSgb-CG,8,0.8707833,220,10,0.000536296464389606,0.272711510219256,1.35464773023743e-07,1
PSSgb-CG,9,0.9316937,222,10,0.000496474018750572,0.236241980685362,1.21807754002269e-07,1
PSSgb-CG,10,0.9605809,220,10,0.000280699883150165,0.216385134362651,4.16009374946112e-08,1
FAST-2CDA-E,1,0.8449172,33,32,7.93645633875582e-10,0.233114699960594,3.88948578494171e-16,1
FAST-2CDA-E,2,0.5673462,21,20,7.96763918629428e-10,0.229185349850655,-3.91473307368771e-16,1
FAST-2CDA-E,3,0.6584887,26,25,8.01127752548332e-10,0.219764631028464,-2.02876273193509e-16,1
FAST-2CDA-E,4,0.5029687,18,17,7.92546793541297e-10,0.229936146945344,4.04103756772432e-16,1
FAST-2CDA-E,5,0.5342463,19,18,7.84052563812047e-10,0.2412299644323,0,1
FAST-2CDA-E,6,1.0237456,45,44,8.37376660677268e-07,0.23141763992778,4.76163257614165e-13,1
FAST-2CDA-E,7,0.5390341,19,18,8.07678433250467e-10,0.216543233670287,-2.03183033714888e-16,1
FAST-2CDA-E,8,0.5304778,19,18,7.53456185561208e-10,0.272743904132406,-1.73218930123397e-16,1
FAST-2CDA-E,9,0.4653272,15,14,7.85483635847598e-10,0.236264390540887,-1.92125491010097e-16,1
FAST-2CDA-E,10,0.5503645,20,19,8.08955225624741e-10,0.216395378071618,4.19269402085682e-16,1
SpaRSA,1,0.9035745,64,20,0.00106189294274371,0.233557115268206,7.76785628881012e-07,1
SpaRSA,2,0.7822151,58,18,0.00108791243033237,0.229221071407324,7.11474776336183e-07,1
SpaRSA,3,0.8536051,64,20,0.0008500860400918,0.220030974281372,5.0694678999717e-07,1
SpaRSA,4,0.8648883,64,20,0.000740961336355496,0.23020358066699,3.79851855526771e-07,1
SpaRSA,5,0.816749,61,19,0.00107097094757067,0.241612658428415,8.58164749947209e-07,1
SpaRSA,6,1.0003703,70,22,0.000678508061249447,0.231732990072734,3.46465608632831e-07,1
SpaRSA,7,0.903445,64,20,0.000687893368695308,0.21679359321773,3.40087625292981e-07,1
SpaRSA,8,0.9089817,64,20,0.00120147772031524,0.273181564198296,8.002079861165e-07,1
SpaRSA,9,0.884392,64,20,0.000817378295378687,0.236574184285108,4.50947562173401e-07,1
SpaRSA,10,0.8887244,64,20,0.00103727471190083,0.216821095104037,8.33572931253428e-07,1
TMAP-CG,1,0.9275549,292,8,0.000613484321908793,0.233085701967397,1.80746464881336e-07,1
TMAP-CG,2,0.7747665,267,8,3.64291960924531e-06,0.229185294073237,6.79069172627239e-12,1
TMAP-CG,3,0.716538,235,7,3.48492059155068e-05,0.219762585688776,5.67348772768751e-10,1
TMAP-CG,4,0.7749246,233,7,7.45204812468834e-05,0.229934315951535,2.91210563169752e-09,1
TMAP-CG,5,0.6962183,233,7,1.56662467759187e-08,0.241229961319028,5.50626046678878e-16,1
TMAP-CG,6,0.7482947,233,7,5.55402312831779e-05,0.231417684273188,1.12118515576313e-09,1
TMAP-CG,7,0.7046687,205,6,0.000984955628174656,0.216475010624685,5.08357741690689e-07,1
TMAP-CG,8,0.6247841,205,6,0.00138803517458872,0.272654875863869,8.75147072771329e-07,1
TMAP-CG,9,0.6671508,205,6,0.00134696284130722,0.236171004059447,8.84047379401787e-07,1
TMAP-CG,10,0.8746082,296,8,0.000248079473976591,0.216390868613397,2.82111458865435e-08,1
TMAP-L-BFGS,1,0.4481716,47,22,0.00117074878803528,0.233115521257022,6.53014569756771e-07,1
TMAP-L-BFGS,2,0.4092232,45,21,0.00111381696746177,0.229205650723468,5.71651735266726e-07,1
TMAP-L-BFGS,3,0.4392625,50,23,0.00103792602346661,0.21976760460849,5.31119776294424e-07,1
TMAP-L-BFGS,4,0.4051067,45,21,0.0012658912626233,0.2300326941875,8.48927371276024e-07,1
TMAP-L-BFGS,5,0.4033332,45,21,0.00136813884798137,0.241361472830266,8.14421897559828e-07,1
TMAP-L-BFGS,6,0.4655055,49,23,0.000930065038117887,0.231491453989984,4.32871413150497e-07,1
TMAP-L-BFGS,7,0.4602814,50,22,0.00137108402278559,0.216548550242222,9.40496016298318e-07,1
TMAP-L-BFGS,8,0.3970365,43,20,0.00140850326989023,0.272739157148763,8.64743827560725e-07,1
TMAP-L-BFGS,9,0.4612856,58,24,0.000986053951691236,0.236212829691742,4.39467942470112e-07,1
TMAP-L-BFGS,10,0.4478784,49,23,0.00108747334122426,0.216352005496255,6.11143912469507e-07,1
ASSN,1,0.7081898,79,8,3.25069315009537e-07,0.233114736685283,1.43901386460383e-09,1
ASSN,2,0.7381521,79,9,1.31811871665205e-05,0.229188759252325,4.8970142832388e-07,1
ASSN,3,0.747815,81,9,1.62587868701927e-05,0.21976797124577,5.78916162339633e-07,1
ASSN,4,0.7963874,91,10,1.16495205448062e-07,0.229936157542135,7.30548267931487e-10,1
ASSN,5,0.7011783,77,9,7.78140168235254e-06,0.241230452216252,1.51162755013794e-07,1
ASSN,6,0.8329555,93,10,2.98379954531811e-07,0.231417478033104,2.04424312708557e-09,1
ASSN,7,0.7860425,79,9,2.06382101861025e-05,0.216548075931093,7.42754817927139e-07,1
ASSN,8,0.5865346,65,7,4.11291391563506e-05,0.272749340326314,5.55028190998582e-07,1
ASSN,9,0.7258524,77,9,1.0126230611549e-05,0.236266336587307,2.59366628773141e-07,1
ASSN,10,0.8402233,93,10,1.45567259557274e-07,0.216395405857723,8.77340719891487e-10,1
