method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.3547782,24,10,0.00569939218747868,0.18448296073259,3.21949242816729e-05,1
PSSgb-L-BFGS,2,0.3737783,26,11,0.00407761122968491,0.184222844913561,1.58686117071988e-05,1
PSSgb-L-BFGS,3,0.3834482,26,11,0.00422799138395953,0.181611099164161,1.65958118020142e-05,1
PSSgb-L-BFGS,4,0.3387034,24,10,0.00484703237000216,0.185521011718365,2.34227246537254e-05,1
PSSgb-L-BFGS,5,0.3520922,24,10,0.00866658061904247,0.178909901663154,7.47863255602805e-05,1
PSSgb-L-BFGS,6,0.3499253,24,10,0.0077333092846901,0.170870137358748,5.88449060437942e-05,1
PSSgb-L-BFGS,7,0.3961814,28,11,0.00452018876869497,0.18681882596673,1.96611126380536e-05,1
PSSgb-L-BFGS,8,0.4138697,28,11,0.00598027925990315,0.178513706116276,3.42423230478317e-05,1
PSSgb-L-BFGS,9,0.3656536,26,11,0.00289279506698093,0.156606961987641,7.82163041222496e-06,1
PSSgb-L-BFGS,10,0.3541177,24,10,0.00632346380576023,0.19715009052935,3.80868126952851e-05,1
PSSgb-CG,1,0.7010978,138,7,0.00698624125239876,0.182751867773258,4.62771171716728e-05,1
PSSgb-CG,2,0.7371702,158,8,0.00282031150612657,0.184263656233642,8.9661765116473e-06,1
PSSgb-CG,3,0.7435013,156,8,0.00281546623812972,0.182088854545133,8.7228325530522e-06,1
PSSgb-CG,4,0.7169284,156,8,0.00166051552197858,0.185976868077194,2.82117658426221e-06,1
PSSgb-CG,5,0.7601502,158,8,0.00203705178199653,0.180692441385862,4.48615793681538e-06,1
PSSgb-CG,6,0.7388858,156,8,0.00140403490151633,0.171179595632413,2.12789355787533e-06,1
PSSgb-CG,7,0.72154,158,8,0.00241190510248228,0.185843039310627,6.08243961019855e-06,1
PSSgb-CG,8,0.7429359,156,8,0.00114493802385514,0.177436177459055,1.39442405150174e-06,1
PSSgb-CG,9,0.7224126,138,7,0.00827173800997153,0.154472386158059,7.48420596707351e-05,1
PSSgb-CG,10,0.6871748,138,7,0.00435270119397528,0.197237166064872,1.72014609357375e-05,1
FAST-2CDA-E,1,0.3330641,8,7,5.89391018255454e-10,0.184687986643962,-2.05528875443626e-16,1
FAST-2CDA-E,2,0.3478448,10,9,3.56031341650821e-05,0.184568779557714,1.52883536215258e-09,1
FAST-2CDA-E,3,0.3256482,8,7,4.68624214793967e-05,0.182326437993337,2.69842757916291e-09,1
FAST-2CDA-E,4,0.3157474,8,7,5.50535477739464e-05,0.186115205293888,3.41519369474441e-09,1
FAST-2CDA-E,5,0.3258912,8,7,9.16346921143092e-05,0.180890747201358,1.07036796043005e-08,1
FAST-2CDA-E,6,0.3144334,8,7,3.66591172234338e-05,0.171256629053612,1.67594808478469e-09,1
FAST-2CDA-E,7,0.3340971,9,8,2.80240800497827e-05,0.186039722226948,9.71205083081098e-10,1
FAST-2CDA-E,8,0.3246638,8,7,6.14518634907741e-05,0.17750180353851,4.5227772803874e-09,1
FAST-2CDA-E,9,0.3159852,8,7,5.96669402314169e-05,0.15692484140854,4.69850200580217e-09,1
FAST-2CDA-E,10,0.3233654,8,7,5.86882180785575e-05,0.198024125069639,3.87759206169473e-09,1
SpaRSA,1,0.4821172,34,10,0.00578452864720811,0.18297892352053,3.3186978786783e-05,1
SpaRSA,2,0.553826,40,12,0.00318019168177327,0.183749829673304,1.07223688577423e-05,1
SpaRSA,3,0.5641252,40,12,0.00295073384643902,0.181465177054099,8.78149678029451e-06,1
SpaRSA,4,0.5384031,40,12,0.00356614571872822,0.184985861163867,1.2088934788903e-05,1
SpaRSA,5,0.5664437,40,12,0.00375747532856998,0.180175170730293,1.54743013872831e-05,1
SpaRSA,6,0.5396681,40,12,0.00330695139486609,0.170351943033705,1.11990365615613e-05,1
SpaRSA,7,0.5377787,40,12,0.00359539746341995,0.184810404107743,1.27486366821643e-05,1
SpaRSA,8,0.5699336,40,12,0.00335010848230213,0.176687465459426,1.12028674107844e-05,1
SpaRSA,9,0.5381522,40,12,0.00655874904250532,0.155805793626419,5.00704137372445e-05,1
SpaRSA,10,0.4835121,34,10,0.00621836909809764,0.199972550835851,4.19177213538329e-05,1
TMAP-CG,1,0.5688029,193,6,5.60683634360995e-07,0.184687756707245,3.24941152076373e-13,1
TMAP-CG,2,0.5754914,191,6,5.13621279312967e-05,0.184560880178332,2.8894801243212e-09,1
TMAP-CG,3,0.580753,191,6,8.2934741023033e-05,0.182311024994148,7.57428565802539e-09,1
TMAP-CG,4,0.5363382,188,6,5.45713238682385e-07,0.186102052532559,3.16692320492931e-13,1
TMAP-CG,5,0.5461213,188,6,7.54083908222993e-06,0.180864038836682,6.15886418044406e-11,1
TMAP-CG,6,0.5932879,191,6,4.07390960127702e-05,0.171242057067807,1.61441266367419e-09,1
TMAP-CG,7,0.5889235,191,6,0.000139630353252784,0.186025887508049,2.02049866668586e-08,1
TMAP-CG,8,0.7641477,250,7,8.41150553664781e-07,0.177490160552817,8.05133454672125e-13,1
TMAP-CG,9,0.6636688,198,6,0.000234336929630558,0.156907422942449,6.43502430760453e-08,1
TMAP-CG,10,0.513607,166,5,0.0065897927591872,0.196961481795536,3.94842228131005e-05,1
TMAP-L-BFGS,1,0.3041837,38,15,0.00996542889912902,0.183524248345629,7.93900688445349e-05,1
TMAP-L-BFGS,2,0.2768494,34,14,0.00746981870992356,0.184194715188389,6.04374028700904e-05,1
