method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.2522089,18,8,0.001744307392921,0.124520923551456,1.31846808985037e-05,1
PSSgb-L-BFGS,2,0.2229034,16,7,0.00417230385167784,0.123258387135926,6.81510087062742e-05,1
PSSgb-L-BFGS,3,0.2304402,16,7,0.00480239718603316,0.127859626339328,9.28998950535664e-05,1
PSSgb-L-BFGS,4,0.251558,18,8,0.00131450772323239,0.120246730821253,6.99539088921952e-06,1
PSSgb-L-BFGS,5,0.2568778,18,8,0.00080808745971276,0.132574224205299,2.80772221572523e-06,1
PSSgb-L-BFGS,6,0.2346507,16,7,0.00499490361039826,0.122037751193276,9.50800243875172e-05,1
PSSgb-L-BFGS,7,0.2491537,18,8,0.00113761785415822,0.128839948432156,5.52226273486944e-06,1
PSSgb-L-BFGS,8,0.2658233,18,8,0.0010258720143024,0.123905261690723,4.26976785028454e-06,1
PSSgb-L-BFGS,9,0.2566393,18,8,0.000722699296300295,0.119699721732237,2.32192791549402e-06,1
PSSgb-L-BFGS,10,0.2643945,18,8,0.00130859243102328,0.119468614916688,7.3424979712966e-06,1
PSSgb-CG,1,0.6032407,160,8,0.00135825943479834,0.12468130612173,7.59850053944078e-06,1
PSSgb-CG,2,0.4438288,124,7,8.41857905500843e-07,0.127426802305792,2.82673884299811e-12,1
PSSgb-CG,3,0.5093887,144,8,8.1038404358315e-08,0.133264831340756,2.55351295663786e-14,1
PSSgb-CG,4,0.5067868,144,8,1.0234973731927e-07,0.120858260190397,4.29656310529936e-14,1
PSSgb-CG,5,0.5192985,142,8,2.92159232801323e-05,0.132673343415963,3.42747563664147e-09,1
PSSgb-CG,6,0.4733892,126,7,0.000886097002666131,0.125929588765763,3.11110482331678e-06,1
PSSgb-CG,7,0.5154408,144,8,1.00921390540266e-06,0.128804107567692,4.19941859064465e-12,1
PSSgb-CG,8,0.4849994,126,7,0.000816084580262151,0.124475832626186,2.61973255388792e-06,1
PSSgb-CG,9,0.5234192,144,8,0.000146582068025787,0.119715213924982,6.85765916275116e-08,1
PSSgb-CG,10,0.5743281,150,8,0.000753781287968527,0.118522416100253,2.38211178060777e-06,1
FAST-2CDA-E,1,0.2866411,6,5,1.13443569966026e-05,0.124547437548205,5.40478550803414e-10,1
FAST-2CDA-E,2,0.2818489,6,5,3.66427539341672e-06,0.127426207721208,5.50389733788847e-11,1
FAST-2CDA-E,3,0.2890298,6,5,3.84418510863084e-06,0.133266271734162,6.31511509752158e-11,1
FAST-2CDA-E,4,0.2689268,5,4,6.80932178539359e-05,0.12086225870342,1.94411892140423e-08,1
FAST-2CDA-E,5,0.2732304,5,4,4.93064019672281e-05,0.132674269177083,1.01195403168219e-08,1
FAST-2CDA-E,6,0.2955052,6,5,2.74619849964736e-10,0.125711724364709,0,1
FAST-2CDA-E,7,0.2679691,5,4,3.44420977731318e-05,0.128811018034821,5.03803021523197e-09,1
FAST-2CDA-E,8,0.2751552,5,4,8.61760762472392e-05,0.124314724288354,3.0880210055706e-08,1
FAST-2CDA-E,9,0.2751407,5,4,4.84796084429493e-05,0.119707944136383,1.02702081283823e-08,1
FAST-2CDA-E,10,0.2759244,5,4,5.67170877186383e-05,0.119043884075316,1.32392881102561e-08,1
SpaRSA,1,0.4570871,34,10,0.000667111915067057,0.124118996510578,1.90201580840821e-06,1
SpaRSA,2,0.4154897,31,9,0.00482850126602517,0.129839759226238,8.64127342842247e-05,1
SpaRSA,3,0.4691546,34,10,0.000475202129735258,0.133225477656388,9.41086741867991e-07,1
SpaRSA,4,0.4596697,34,10,0.000465172369240762,0.120628095521152,9.23953207276895e-07,1
SpaRSA,5,0.4720154,34,10,0.000525061896655904,0.132371254780573,1.18824752071145e-06,1
SpaRSA,6,0.4828034,34,10,0.000490333557199051,0.125509215479231,1.01665532836748e-06,1
SpaRSA,7,0.4537865,34,10,0.000481382106954648,0.128867895423769,9.15837344517278e-07,1
SpaRSA,8,0.4816048,34,10,0.00061311100396462,0.124223152412075,1.46385720045661e-06,1
SpaRSA,9,0.4685472,34,10,0.000486722982852568,0.119617935472258,9.65696095645008e-07,1
SpaRSA,10,0.4865857,34,10,0.000602119099692998,0.118847552907616,1.44683053837635e-06,1
TMAP-CG,1,0.1625167,72,4,0.000100856666362075,0.124540239994205,4.12974723307258e-08,1
TMAP-CG,2,0.1308868,56,3,0.00461158461096796,0.123432829800689,8.41908959867688e-05,1
TMAP-CG,3,0.1517527,70,4,1.57859401331478e-07,0.133264593106296,1.04360964314765e-13,1
TMAP-CG,4,0.1573597,70,4,2.25994020588588e-07,0.120857944517352,2.04503081135954e-13,1
TMAP-CG,5,0.1539182,70,4,1.18413072276479e-07,0.132678920529384,5.79536418854332e-14,1
TMAP-CG,6,0.1374156,56,3,0.00457120974010338,0.121439904302392,8.21423200041416e-05,1
TMAP-CG,7,0.1567516,72,4,2.27857364729702e-07,0.128802801156693,2.1627144519698e-13,1
TMAP-CG,8,0.1556722,70,4,1.12006349576595e-07,0.124316850132051,5.19584375524573e-14,1
TMAP-CG,9,0.1569516,70,4,4.45851880655094e-05,0.119692698129032,7.96968901983774e-09,1
TMAP-CG,10,0.1669964,72,4,9.45871849063005e-05,0.118974033726377,3.6293650085284e-08,1
TMAP-L-BFGS,1,0.1884126,26,10,0.00371440822586712,0.126498002686206,4.9352996693286e-05,1
TMAP-L-BFGS,2,0.1650093,22,9,0.00174812360481204,0.125879248591781,1.2362668061372e-05,1
TMAP-L-BFGS,3,0.1861354,24,10,0.00251524686657396,0.133591947464182,2.51175599346176e-05,1
TMAP-L-BFGS,4,0.167882,22,9,0.00325950226140099,0.121944655232861,4.43403109885443e-05,1
TMAP-L-BFGS,5,0.1848021,23,10,0.0036705451100909,0.132000163243683,5.42517294792599e-05,1
TMAP-L-BFGS,6,0.1768626,22,9,0.00466720496920083,0.128625025184076,9.53037257531708e-05,1
TMAP-L-BFGS,7,0.1831837,23,10,0.00360111867814766,0.128672864489741,5.15884333799344e-05,1
TMAP-L-BFGS,8,0.1929547,24,10,0.00286847316216518,0.125744914056455,3.31961687113358e-05,1
TMAP-L-BFGS,9,0.1865579,24,10,0.00369649523174932,0.120100214914207,5.60204628652361e-05,1
TMAP-L-BFGS,10,0.1947061,23,10,0.00121306443194323,0.119216959203919,5.65674105934555e-06,1
ASSN,1,0.4364889,47,8,5.65305759358981e-05,0.124514166718959,3.18908921914662e-06,1
ASSN,2,0.3907046,45,8,2.56210162691921e-05,0.127411308611228,1.08626719130811e-06,1
ASSN,3,0.4250451,47,8,3.36583607917375e-05,0.133260251112076,2.05687986964964e-06,1
ASSN,4,0.4169039,47,8,3.55050633233102e-05,0.120839027384841,2.3181809212236e-06,1
